Bill Date & Time,DateTIme,Name,Phone Number,Waxing,Facial,De-tan,Pedicure,Manicure,Bleaching,Wash,Massage,Threading,Hair Cut,Miscellaneous,Bill Amount,Service done by,Payment Mode,Helper for S,Bill Date,week,Name of the day
28/09/2024 17:16:00,28/09/2024 17:16,Sangeetha,9311915949,Waxing,,De-tan,,,,,Massage,Threading,Hair Cut,Miscellaneous,871,Anjali,Cash,Malar,2024-09-28,39,Saturday
19/11/2024 15:45:00,19/11/2024 15:45,Keerthana,9296569090,Waxing,,,Pedicure,,,,,,Hair Cut,,750,Malar,GPay,Pinky,2024-11-19,47,Tuesday
10/10/2024 19:15:00,10/10/2024 19:15,Divya,9843266245,Waxing,,,,,Bleaching,,,,,Miscellaneous,750,Suganya Sri,PhonePe,Anjali,2024-10-10,41,Thursday
29/10/2024 18:35:00,29/10/2024 18:35,Aishwarya,9866304427,,Facial,De-tan,,Manicure,,Wash,Massage,Threading,Hair Cut,Miscellaneous,1339,Poornima,GPay,Anjali,2024-10-29,44,Tuesday
30/10/2024 13:28:00,30/10/2024 13:28,Sangeetha,9480957803,,Facial,,Pedicure,,,Wash,,Threading,Hair Cut,,2898,Malar,GPay,,2024-10-30,44,Wednesday
12/09/2024 17:48:00,12/09/2024 17:48,Swathi,9638912782,,,,,Manicure,Bleaching,,Massage,Threading,,Miscellaneous,2395,Poornima,Cash,Malar,2024-09-12,37,Thursday
16/09/2024 14:02:00,16/09/2024 14:02,Sangeetha,9946623284,Waxing,,,,Manicure,Bleaching,,Massage,Threading,,Miscellaneous,1858,Pinky,Card,,2024-09-16,38,Monday
24/09/2024 11:01:00,24/09/2024 11:01,Harini,9865565221,Waxing,,,Pedicure,,,Wash,,,Hair Cut,,1029,Anjali,PhonePe,,2024-09-24,39,Tuesday
27/10/2024 15:52:00,27/10/2024 15:52,Latha,9879181262,,Facial,De-tan,,Manicure,Bleaching,Wash,,,Hair Cut,,3467,Suganya Sri,Card,Suganya Sri,2024-10-27,43,Sunday
13/11/2024 15:19:00,13/11/2024 15:19,Aishwarya,9508549521,,,De-tan,Pedicure,,Bleaching,,Massage,Threading,,Miscellaneous,3081,Pinky,PhonePe,,2024-11-13,46,Wednesday
11/11/2024 13:24:00,11/11/2024 13:24,Harini,9565890568,Waxing,Facial,,Pedicure,Manicure,,Wash,Massage,Threading,,,314,Malar,PhonePe,Poornima,2024-11-11,46,Monday
30/09/2024 11:41:00,30/09/2024 11:41,Nisha,9259658125,,Facial,De-tan,Pedicure,Manicure,Bleaching,,Massage,,Hair Cut,,3292,Suganya Sri,Cash,,2024-09-30,40,Monday
23/09/2024 19:20:00,23/09/2024 19:20,Anjali,9106463031,,,,,Manicure,,,Massage,,Hair Cut,Miscellaneous,2472,Pinky,Cash,Malar,2024-09-23,39,Monday
14/09/2024 18:38:00,14/09/2024 18:38,Harini,9414322116,Waxing,,,Pedicure,,Bleaching,Wash,,,Hair Cut,,1790,Malar,Card,,2024-09-14,37,Saturday
28/08/2024 18:43:00,28/08/2024 18:43,Swathi,9869248448,Waxing,Facial,De-tan,Pedicure,Manicure,,,,Threading,,,954,Pinky,Card,Malar,2024-08-28,35,Wednesday
17/10/2024 11:08:00,17/10/2024 11:08,Sangeetha,9437918939,Waxing,,De-tan,,Manicure,,,Massage,,Hair Cut,Miscellaneous,2906,Malar,Card,Pinky,2024-10-17,42,Thursday
17/10/2024 11:40:00,17/10/2024 11:40,Priya,9887093284,,Facial,,,,Bleaching,Wash,,Threading,,,2413,Pinky,PhonePe,Malar,2024-10-17,42,Thursday
30/08/2024 20:51:00,30/08/2024 20:51,Meena,9694688087,Waxing,,,,,,Wash,,Threading,Hair Cut,Miscellaneous,2952,Suganya Sri,Cash,,2024-08-30,35,Friday
13/11/2024 13:01:00,13/11/2024 13:01,Priya,9158462205,,Facial,De-tan,,,,Wash,,,,,862,Malar,Card,Anjali,2024-11-13,46,Wednesday
08/10/2024 17:48:00,08/10/2024 17:48,Divya,9568366207,Waxing,,De-tan,,Manicure,Bleaching,,Massage,Threading,,,2854,Poornima,PhonePe,Poornima,2024-10-08,41,Tuesday
20/11/2024 14:01:00,20/11/2024 14:01,Anjali,9447236150,Waxing,,De-tan,,,Bleaching,Wash,,Threading,Hair Cut,Miscellaneous,318,Malar,GPay,,2024-11-20,47,Wednesday
22/09/2024 17:04:00,22/09/2024 17:04,Deepa,9151663951,,Facial,De-tan,,,Bleaching,Wash,,,Hair Cut,,1928,Anjali,GPay,Poornima,2024-09-22,38,Sunday
07/09/2024 16:31:00,07/09/2024 16:31,Divya,9115547803,,Facial,De-tan,,,,Wash,Massage,,Hair Cut,,1071,Malar,GPay,Anjali,2024-09-07,36,Saturday
17/10/2024 19:51:00,17/10/2024 19:51,Anjali,9710420875,Waxing,Facial,De-tan,,,Bleaching,,,,,Miscellaneous,1261,Anjali,GPay,Poornima,2024-10-17,42,Thursday
08/09/2024 15:12:00,08/09/2024 15:12,Anjali,9786129224,,Facial,De-tan,,Manicure,Bleaching,Wash,Massage,Threading,Hair Cut,Miscellaneous,257,Pinky,Card,Poornima,2024-09-08,36,Sunday
24/10/2024 16:18:00,24/10/2024 16:18,Deepa,9116357703,Waxing,,,,,Bleaching,,,,,,2637,Pinky,Cash,Malar,2024-10-24,43,Thursday
21/09/2024 09:10:00,21/09/2024 09:10,Meena,9434508604,,,,Pedicure,,Bleaching,,,,,,1120,Anjali,GPay,Suganya Sri,2024-09-21,38,Saturday
24/08/2024 09:27:00,24/08/2024 09:27,Deepa,9476729150,,Facial,,Pedicure,,Bleaching,,Massage,,,,1062,Malar,Card,Malar,2024-08-24,34,Saturday
06/09/2024 10:53:00,06/09/2024 10:53,Sangeetha,9401811080,,Facial,De-tan,Pedicure,Manicure,,,Massage,,,,3440,Anjali,Cash,,2024-09-06,36,Friday
23/10/2024 18:23:00,23/10/2024 18:23,Shruthi,9655507012,,,,Pedicure,Manicure,,,Massage,Threading,Hair Cut,,1366,Suganya Sri,Card,,2024-10-23,43,Wednesday
07/09/2024 17:29:00,07/09/2024 17:29,Harini,9627999998,Waxing,,De-tan,,Manicure,,Wash,,,,Miscellaneous,3438,Poornima,Cash,Pinky,2024-09-07,36,Saturday
11/10/2024 09:33:00,11/10/2024 09:33,Meena,9513773146,Waxing,Facial,De-tan,,,Bleaching,Wash,,Threading,Hair Cut,,832,Poornima,Card,,2024-10-11,41,Friday
02/10/2024 17:22:00,02/10/2024 17:22,Swathi,9300842186,,Facial,De-tan,Pedicure,Manicure,Bleaching,Wash,,,Hair Cut,Miscellaneous,1361,Malar,Card,,2024-10-02,40,Wednesday
25/08/2024 14:30:00,25/08/2024 14:30,Aishwarya,9395576645,,,,,,,Wash,,,,Miscellaneous,1107,Suganya Sri,GPay,Anjali,2024-08-25,34,Sunday
25/09/2024 17:31:00,25/09/2024 17:31,Divya,9282228203,,,,,Manicure,,,,,Hair Cut,,3421,Pinky,GPay,Suganya Sri,2024-09-25,39,Wednesday
16/09/2024 10:50:00,16/09/2024 10:50,Divya,9742626636,Waxing,Facial,,Pedicure,,,,Massage,,Hair Cut,,2037,Poornima,Cash,Suganya Sri,2024-09-16,38,Monday
01/09/2024 16:10:00,01/09/2024 16:10,Anjali,9503804319,,,De-tan,Pedicure,,,Wash,,,,Miscellaneous,316,Poornima,Card,,2024-09-01,35,Sunday
31/08/2024 20:26:00,31/08/2024 20:26,Meena,9636356479,,Facial,,,Manicure,,Wash,,,Hair Cut,Miscellaneous,1173,Suganya Sri,GPay,,2024-08-31,35,Saturday
18/11/2024 15:25:00,18/11/2024 15:25,Keerthana,9628775436,,,De-tan,Pedicure,,Bleaching,Wash,,,,,1602,Anjali,Cash,,2024-11-18,47,Monday
16/09/2024 20:22:00,16/09/2024 20:22,Ranjani,9860821733,,Facial,,,Manicure,,Wash,,,,Miscellaneous,270,Anjali,PhonePe,,2024-09-16,38,Monday
19/10/2024 11:01:00,19/10/2024 11:01,Latha,9505776877,,Facial,,,Manicure,,Wash,,,,Miscellaneous,1581,Pinky,Cash,,2024-10-19,42,Saturday
14/11/2024 10:29:00,14/11/2024 10:29,Keerthana,9381500609,,Facial,De-tan,Pedicure,,,,,Threading,,Miscellaneous,2621,Anjali,PhonePe,,2024-11-14,46,Thursday
31/10/2024 14:47:00,31/10/2024 14:47,Sandhya,9735760621,Waxing,,,,Manicure,Bleaching,Wash,,,Hair Cut,,3222,Anjali,Card,,2024-10-31,44,Thursday
29/09/2024 18:24:00,29/09/2024 18:24,Meena,9990913711,,Facial,De-tan,Pedicure,Manicure,,Wash,,,Hair Cut,Miscellaneous,292,Pinky,Card,Malar,2024-09-29,39,Sunday
09/11/2024 14:07:00,09/11/2024 14:07,Anjali,9479883047,Waxing,Facial,,,Manicure,Bleaching,Wash,,Threading,Hair Cut,,2484,Anjali,Cash,,2024-11-09,45,Saturday
06/10/2024 13:43:00,06/10/2024 13:43,Sangeetha,9804730076,Waxing,,,Pedicure,Manicure,Bleaching,,Massage,Threading,Hair Cut,,2035,Malar,GPay,,2024-10-06,40,Sunday
17/10/2024 11:18:00,17/10/2024 11:18,Deepa,9669962815,Waxing,Facial,,Pedicure,Manicure,Bleaching,Wash,Massage,,Hair Cut,,3364,Poornima,Cash,,2024-10-17,42,Thursday
04/10/2024 12:24:00,04/10/2024 12:24,Soumya,9308977785,Waxing,Facial,De-tan,Pedicure,,Bleaching,,Massage,Threading,Hair Cut,Miscellaneous,3170,Anjali,PhonePe,,2024-10-04,40,Friday
10/11/2024 17:38:00,10/11/2024 17:38,Divya,9700573796,,,De-tan,,Manicure,Bleaching,Wash,,Threading,Hair Cut,,2086,Suganya Sri,GPay,Suganya Sri,2024-11-10,45,Sunday
18/11/2024 09:48:00,18/11/2024 09:48,Anjali,9678654610,,,,Pedicure,Manicure,Bleaching,Wash,,Threading,,,2380,Poornima,GPay,Poornima,2024-11-18,47,Monday
16/11/2024 10:42:00,16/11/2024 10:42,Sangeetha,9447325415,,Facial,,Pedicure,Manicure,Bleaching,Wash,Massage,Threading,,,1649,Poornima,GPay,,2024-11-16,46,Saturday
25/09/2024 10:13:00,25/09/2024 10:13,Keerthana,9216700791,Waxing,,,,Manicure,Bleaching,Wash,Massage,Threading,,Miscellaneous,1691,Anjali,PhonePe,Suganya Sri,2024-09-25,39,Wednesday
09/09/2024 17:02:00,09/09/2024 17:02,Anjali,9506817067,Waxing,Facial,De-tan,,,Bleaching,Wash,,Threading,,,1981,Suganya Sri,PhonePe,Anjali,2024-09-09,37,Monday
01/09/2024 18:56:00,01/09/2024 18:56,Keerthana,9917312770,Waxing,,,,Manicure,,Wash,Massage,,,Miscellaneous,1964,Suganya Sri,GPay,,2024-09-01,35,Sunday
29/10/2024 17:30:00,29/10/2024 17:30,Latha,9643476951,,Facial,De-tan,Pedicure,,,Wash,Massage,,,Miscellaneous,2262,Malar,Cash,Pinky,2024-10-29,44,Tuesday
19/09/2024 10:48:00,19/09/2024 10:48,Nisha,9204834426,Waxing,Facial,De-tan,,Manicure,Bleaching,Wash,Massage,,,Miscellaneous,1335,Pinky,GPay,,2024-09-19,38,Thursday
28/08/2024 14:31:00,28/08/2024 14:31,Deepa,9480357978,Waxing,Facial,De-tan,Pedicure,Manicure,,,Massage,,Hair Cut,,1068,Suganya Sri,GPay,,2024-08-28,35,Wednesday
28/09/2024 16:59:00,28/09/2024 16:59,Sandhya,9862933143,,Facial,De-tan,Pedicure,Manicure,,Wash,Massage,Threading,,,1624,Anjali,GPay,,2024-09-28,39,Saturday
19/09/2024 14:52:00,19/09/2024 14:52,Latha,9604729193,,Facial,De-tan,,Manicure,,Wash,Massage,Threading,,Miscellaneous,686,Malar,Card,,2024-09-19,38,Thursday
13/10/2024 18:31:00,13/10/2024 18:31,Ranjani,9515983153,Waxing,Facial,,,,Bleaching,,Massage,,Hair Cut,,2796,Anjali,PhonePe,,2024-10-13,41,Sunday
10/11/2024 16:40:00,10/11/2024 16:40,Shruthi,9301723087,,Facial,De-tan,,Manicure,,Wash,Massage,,Hair Cut,,3252,Poornima,GPay,Poornima,2024-11-10,45,Sunday
26/09/2024 13:47:00,26/09/2024 13:47,Latha,9754194532,Waxing,,,Pedicure,,Bleaching,Wash,,,Hair Cut,,740,Anjali,GPay,,2024-09-26,39,Thursday
07/09/2024 20:03:00,07/09/2024 20:03,Harini,9594676852,Waxing,,De-tan,,Manicure,Bleaching,Wash,Massage,Threading,,,910,Suganya Sri,GPay,,2024-09-07,36,Saturday
25/10/2024 17:38:00,25/10/2024 17:38,Meena,9873842447,Waxing,,De-tan,,,Bleaching,Wash,,Threading,Hair Cut,,3134,Anjali,PhonePe,Malar,2024-10-25,43,Friday
24/09/2024 19:58:00,24/09/2024 19:58,Deepa,9890916878,,Facial,De-tan,Pedicure,,Bleaching,Wash,Massage,,,,1586,Suganya Sri,GPay,,2024-09-24,39,Tuesday
29/08/2024 17:54:00,29/08/2024 17:54,Meena,9186871541,,,,Pedicure,Manicure,Bleaching,,Massage,,,Miscellaneous,776,Malar,PhonePe,Pinky,2024-08-29,35,Thursday
30/09/2024 11:45:00,30/09/2024 11:45,Priya,9755532311,Waxing,,De-tan,,,Bleaching,Wash,,Threading,,Miscellaneous,734,Pinky,PhonePe,,2024-09-30,40,Monday
26/10/2024 09:32:00,26/10/2024 09:32,Deepa,9403605532,Waxing,Facial,De-tan,Pedicure,,Bleaching,,Massage,,Hair Cut,,2157,Suganya Sri,Card,Malar,2024-10-26,43,Saturday
14/10/2024 19:33:00,14/10/2024 19:33,Shruthi,9244519955,,Facial,De-tan,Pedicure,Manicure,Bleaching,,Massage,,Hair Cut,,1585,Poornima,Cash,Anjali,2024-10-14,42,Monday
09/11/2024 17:39:00,09/11/2024 17:39,Shruthi,9106705479,,Facial,,,,,,,,Hair Cut,,2911,Poornima,Card,Pinky,2024-11-09,45,Saturday
26/08/2024 19:58:00,26/08/2024 19:58,Sandhya,9581908773,,Facial,,,Manicure,,,Massage,,,,2226,Anjali,PhonePe,Anjali,2024-08-26,35,Monday
11/10/2024 09:47:00,11/10/2024 09:47,Meena,9220971647,,Facial,,Pedicure,Manicure,,Wash,,,,,862,Malar,Card,,2024-10-11,41,Friday
23/08/2024 12:37:00,23/08/2024 12:37,Meena,9582313412,Waxing,,,,Manicure,,,Massage,,Hair Cut,Miscellaneous,2381,Malar,GPay,,2024-08-23,34,Friday
13/11/2024 11:53:00,13/11/2024 11:53,Ranjani,9979072839,Waxing,Facial,,,Manicure,,,,,Hair Cut,,270,Pinky,PhonePe,,2024-11-13,46,Wednesday
14/10/2024 15:49:00,14/10/2024 15:49,Keerthana,9388099445,,,,,,,Wash,Massage,Threading,Hair Cut,,222,Malar,Card,,2024-10-14,42,Monday
25/08/2024 10:20:00,25/08/2024 10:20,Soumya,9423439912,,Facial,,Pedicure,,Bleaching,,Massage,Threading,Hair Cut,,2038,Poornima,Card,Anjali,2024-08-25,34,Sunday
25/09/2024 20:03:00,25/09/2024 20:03,Keerthana,9233166820,,,De-tan,,Manicure,Bleaching,,Massage,Threading,,,2203,Malar,Cash,,2024-09-25,39,Wednesday
21/09/2024 09:32:00,21/09/2024 09:32,Keerthana,9444632116,Waxing,Facial,,,Manicure,Bleaching,Wash,,Threading,,,185,Anjali,Cash,Anjali,2024-09-21,38,Saturday
16/10/2024 11:48:00,16/10/2024 11:48,Anjali,9677478002,,,,Pedicure,,,,Massage,,Hair Cut,,3019,Pinky,GPay,,2024-10-16,42,Wednesday
21/10/2024 13:18:00,21/10/2024 13:18,Keerthana,9690969856,Waxing,,,Pedicure,Manicure,Bleaching,,Massage,,,Miscellaneous,1556,Poornima,Cash,,2024-10-21,43,Monday
18/11/2024 17:22:00,18/11/2024 17:22,Divya,9762248262,,,De-tan,,Manicure,Bleaching,Wash,Massage,,,,1934,Anjali,Card,,2024-11-18,47,Monday
27/10/2024 13:00:00,27/10/2024 13:00,Nisha,9772610313,,Facial,De-tan,,,,Wash,Massage,Threading,Hair Cut,Miscellaneous,3371,Malar,PhonePe,Anjali,2024-10-27,43,Sunday
