Timestamp,DateTIme,Client Name,Client Number,Sold by,Product Name,Bill Amount,Payment Mode,Helper
01/10/2024 10:00:00,01/10/2024 10:00,Swathi,9233763383,Malar,Hair Serum,431,PhonePe,Suganya Sri
16/10/2024 21:00:00,16/10/2024 21:00,Meena,9166875948,Suganya Sri,Hair Serum,415,PhonePe,
18/10/2024 15:00:00,18/10/2024 15:00,Divya,9497773256,Poornima,Shampoo,1466,Cash,
01/11/2024 09:00:00,01/11/2024 09:00,Divya,9631782848,Malar,Hair Serum,933,Cash,
19/11/2024 17:00:00,19/11/2024 17:00,Nisha,9315742434,Pinky,Body Lotion,1452,Cash,
04/10/2024 16:00:00,04/10/2024 16:00,Ranjani,9340842684,Anjali,Hair Serum,1197,GPay,Anjali
03/10/2024 11:00:00,03/10/2024 11:00,Priya,9397489861,Malar,Hair Oil,1469,PhonePe,
05/09/2024 19:00:00,05/09/2024 19:00,Nisha,9251745650,Suganya Sri,Hair Oil,1316,GPay,
17/10/2024 09:00:00,17/10/2024 09:00,Latha,9730562431,Suganya Sri,Hair Serum,1239,GPay,
19/09/2024 19:00:00,19/09/2024 19:00,Meena,9555349933,Poornima,Face Pack,1659,GPay,
27/08/2024 19:00:00,27/08/2024 19:00,Keerthana,9881530306,Malar,Hair Serum,1098,PhonePe,Pinky
13/09/2024 10:00:00,13/09/2024 10:00,Nisha,9332416281,Pinky,Conditioner,613,GPay,Pinky
16/10/2024 14:00:00,16/10/2024 14:00,Priya,9766108107,Poornima,Shampoo,428,Cash,
15/09/2024 14:00:00,15/09/2024 14:00,Keerthana,9120003032,Pinky,Hair Serum,1865,GPay,
01/11/2024 19:00:00,01/11/2024 19:00,Shruthi,9133689865,Pinky,Conditioner,972,Card,
08/10/2024 14:00:00,08/10/2024 14:00,Nisha,9280491634,Pinky,Face Pack,1339,PhonePe,
24/10/2024 14:00:00,24/10/2024 14:00,Meena,9104499394,Poornima,Hair Oil,1527,Card,
08/11/2024 20:00:00,08/11/2024 20:00,Priya,9620796903,Anjali,Face Pack,1169,Cash,Poornima
09/11/2024 16:00:00,09/11/2024 16:00,Divya,9512712174,Suganya Sri,Hair Serum,1412,Card,
30/08/2024 09:00:00,30/08/2024 09:00,Shruthi,9559247206,Anjali,Hair Oil,602,PhonePe,
27/09/2024 17:00:00,27/09/2024 17:00,Nisha,9117862895,Suganya Sri,Hair Serum,865,GPay,Poornima
18/11/2024 11:00:00,18/11/2024 11:00,Aishwarya,9408484017,Anjali,Conditioner,498,Cash,
05/10/2024 12:00:00,05/10/2024 12:00,Sangeetha,9437737887,Anjali,Hair Oil,1707,Cash,
28/08/2024 18:00:00,28/08/2024 18:00,Nisha,9258314499,Poornima,Conditioner,501,Card,Malar
10/09/2024 20:00:00,10/09/2024 20:00,Anjali,9602167747,Anjali,Body Lotion,1559,Card,
24/09/2024 17:00:00,24/09/2024 17:00,Sangeetha,9349366445,Anjali,Body Lotion,1445,GPay,Anjali
31/08/2024 14:00:00,31/08/2024 14:00,Shruthi,9995364846,Poornima,Body Lotion,916,GPay,
28/09/2024 16:00:00,28/09/2024 16:00,Ranjani,9319286524,Suganya Sri,Conditioner,863,Card,Pinky
18/11/2024 09:00:00,18/11/2024 09:00,Sandhya,9680225497,Anjali,Hair Oil,799,PhonePe,Suganya Sri
01/09/2024 15:00:00,01/09/2024 15:00,Divya,9698866270,Pinky,Conditioner,1446,PhonePe,
26/09/2024 17:00:00,26/09/2024 17:00,Divya,9819616553,Suganya Sri,Hair Serum,808,Card,Pinky
16/09/2024 10:00:00,16/09/2024 10:00,Keerthana,9642463481,Suganya Sri,Face Pack,698,Cash,Poornima
24/10/2024 13:00:00,24/10/2024 13:00,Latha,9804072248,Pinky,Body Lotion,785,Card,
19/09/2024 21:00:00,19/09/2024 21:00,Kavya,9977026358,Pinky,Body Lotion,657,Card,
04/11/2024 12:00:00,04/11/2024 12:00,Sandhya,9778317509,Pinky,Conditioner,1490,PhonePe,
27/09/2024 18:00:00,27/09/2024 18:00,Sangeetha,9984468777,Malar,Shampoo,709,PhonePe,Malar
25/10/2024 10:00:00,25/10/2024 10:00,Harini,9690576791,Suganya Sri,Hair Oil,1218,GPay,Pinky
10/09/2024 15:00:00,10/09/2024 15:00,Deepa,9247912298,Malar,Hair Oil,1760,PhonePe,
28/10/2024 19:00:00,28/10/2024 19:00,Sangeetha,9592976492,Malar,Face Pack,1901,PhonePe,
13/11/2024 15:00:00,13/11/2024 15:00,Latha,9492153742,Pinky,Shampoo,581,Card,Poornima
07/11/2024 16:00:00,07/11/2024 16:00,Sangeetha,9427643925,Malar,Conditioner,1679,Cash,Suganya Sri
30/10/2024 09:00:00,30/10/2024 09:00,Aishwarya,9788056046,Pinky,Shampoo,1472,Card,Suganya Sri
28/10/2024 17:00:00,28/10/2024 17:00,Sandhya,9542158985,Pinky,Hair Oil,1659,Cash,Malar
31/10/2024 10:00:00,31/10/2024 10:00,Priya,9122351851,Suganya Sri,Conditioner,1137,GPay,
13/09/2024 13:00:00,13/09/2024 13:00,Swathi,9619195486,Poornima,Face Pack,690,GPay,
01/10/2024 16:00:00,01/10/2024 16:00,Shruthi,9197104121,Pinky,Shampoo,648,GPay,
10/11/2024 11:00:00,10/11/2024 11:00,Harini,9862976430,Pinky,Shampoo,1104,Card,
29/08/2024 16:00:00,29/08/2024 16:00,Nisha,9178862418,Suganya Sri,Face Pack,450,Cash,
25/08/2024 12:00:00,25/08/2024 12:00,Divya,9459528744,Poornima,Conditioner,1717,PhonePe,
10/09/2024 20:00:00,10/09/2024 20:00,Harini,9261645029,Poornima,Hair Serum,1207,Card,
01/11/2024 20:00:00,01/11/2024 20:00,Anjali,9272939877,Suganya Sri,Hair Serum,1714,Card,
28/08/2024 15:00:00,28/08/2024 15:00,Swathi,9170003894,Anjali,Face Pack,1340,PhonePe,
25/09/2024 16:00:00,25/09/2024 16:00,Harini,9725219971,Suganya Sri,Face Pack,1035,Card,
09/09/2024 19:00:00,09/09/2024 19:00,Sandhya,9725551063,Anjali,Hair Serum,1562,Card,Pinky
03/10/2024 19:00:00,03/10/2024 19:00,Latha,9238077558,Pinky,Body Lotion,221,Card,
05/11/2024 15:00:00,05/11/2024 15:00,Nisha,9233251907,Malar,Conditioner,723,PhonePe,Poornima
20/11/2024 14:00:00,20/11/2024 14:00,Swathi,9784994040,Pinky,Hair Serum,857,Card,
04/11/2024 12:00:00,04/11/2024 12:00,Anjali,9473250831,Malar,Hair Serum,1644,GPay,
19/10/2024 12:00:00,19/10/2024 12:00,Soumya,9850518145,Poornima,Body Lotion,1040,Card,Anjali
20/10/2024 21:00:00,20/10/2024 21:00,Shruthi,9610892120,Anjali,Hair Serum,1185,Cash,Poornima
07/11/2024 19:00:00,07/11/2024 19:00,Kavya,9596586342,Anjali,Hair Serum,817,Card,Suganya Sri
06/09/2024 12:00:00,06/09/2024 12:00,Kavya,9764548991,Pinky,Shampoo,995,Cash,Pinky
07/10/2024 10:00:00,07/10/2024 10:00,Divya,9221373104,Pinky,Hair Oil,369,Card,
12/10/2024 09:00:00,12/10/2024 09:00,Sandhya,9723810471,Suganya Sri,Shampoo,163,GPay,
07/10/2024 20:00:00,07/10/2024 20:00,Soumya,9367364305,Poornima,Body Lotion,159,Card,
08/09/2024 10:00:00,08/09/2024 10:00,Swathi,9204121037,Anjali,Body Lotion,285,PhonePe,Suganya Sri
15/10/2024 17:00:00,15/10/2024 17:00,Harini,9101984668,Pinky,Face Pack,1511,GPay,
21/10/2024 15:00:00,21/10/2024 15:00,Swathi,9293931119,Suganya Sri,Hair Serum,216,GPay,Suganya Sri
17/09/2024 11:00:00,17/09/2024 11:00,Divya,9410585141,Pinky,Shampoo,427,Card,Suganya Sri
19/10/2024 20:00:00,19/10/2024 20:00,Harini,9198548536,Suganya Sri,Hair Oil,548,Cash,
25/10/2024 20:00:00,25/10/2024 20:00,Shruthi,9409883125,Poornima,Conditioner,438,Cash,Malar
20/10/2024 18:00:00,20/10/2024 18:00,Sandhya,9337922716,Malar,Hair Oil,903,PhonePe,
06/10/2024 09:00:00,06/10/2024 09:00,Ranjani,9543501286,Anjali,Shampoo,462,PhonePe,Suganya Sri
09/09/2024 20:00:00,09/09/2024 20:00,Meena,9276888288,Malar,Conditioner,1586,Card,Malar
05/09/2024 20:00:00,05/09/2024 20:00,Harini,9585279751,Pinky,Body Lotion,1967,PhonePe,Pinky
24/09/2024 21:00:00,24/09/2024 21:00,Aishwarya,9127840815,Anjali,Shampoo,797,GPay,
22/09/2024 17:00:00,22/09/2024 17:00,Soumya,9134246175,Anjali,Hair Serum,465,PhonePe,Pinky
03/11/2024 19:00:00,03/11/2024 19:00,Swathi,9608287199,Poornima,Shampoo,1764,Cash,
15/10/2024 18:00:00,15/10/2024 18:00,Shruthi,9212445858,Anjali,Body Lotion,1184,Cash,
04/09/2024 15:00:00,04/09/2024 15:00,Sandhya,9322361848,Suganya Sri,Hair Serum,1341,Card,
04/11/2024 21:00:00,04/11/2024 21:00,Aishwarya,9656722307,Malar,Shampoo,1683,Card,Poornima
20/11/2024 12:00:00,20/11/2024 12:00,Kavya,9972917659,Suganya Sri,Face Pack,215,PhonePe,
21/09/2024 12:00:00,21/09/2024 12:00,Latha,9776087077,Poornima,Hair Serum,353,Card,Anjali
26/09/2024 21:00:00,26/09/2024 21:00,Swathi,9670068909,Suganya Sri,Shampoo,1405,Cash,Anjali
11/11/2024 14:00:00,11/11/2024 14:00,Kavya,9267476903,Malar,Hair Oil,1965,PhonePe,
28/10/2024 10:00:00,28/10/2024 10:00,Priya,9518796276,Pinky,Shampoo,496,Card,Malar
01/11/2024 14:00:00,01/11/2024 14:00,Harini,9685090364,Pinky,Face Pack,437,Cash,
13/09/2024 14:00:00,13/09/2024 14:00,Swathi,9870536847,Suganya Sri,Hair Serum,1423,Cash,Anjali
17/11/2024 18:00:00,17/11/2024 18:00,Sandhya,9991198733,Poornima,Face Pack,1353,PhonePe,
05/10/2024 20:00:00,05/10/2024 20:00,Priya,9973228473,Poornima,Body Lotion,1205,PhonePe,Poornima
21/09/2024 20:00:00,21/09/2024 20:00,Divya,9771715760,Poornima,Hair Serum,1086,Cash,
31/10/2024 21:00:00,31/10/2024 21:00,Anjali,9865555987,Poornima,Hair Oil,1072,Card,Suganya Sri
20/09/2024 15:00:00,20/09/2024 15:00,Sangeetha,9374612118,Malar,Shampoo,1546,Cash,
31/10/2024 15:00:00,31/10/2024 15:00,Shruthi,9216639679,Anjali,Hair Oil,206,PhonePe,
26/09/2024 09:00:00,26/09/2024 09:00,Sandhya,9902483969,Poornima,Hair Oil,1027,PhonePe,Malar
28/08/2024 15:00:00,28/08/2024 15:00,Kavya,9142310587,Anjali,Face Pack,1956,GPay,Anjali
02/09/2024 16:00:00,02/09/2024 16:00,Ranjani,9709702144,Malar,Face Pack,1267,PhonePe,
28/10/2024 17:00:00,28/10/2024 17:00,Aishwarya,9349038652,Poornima,Face Pack,1362,PhonePe,
02/11/2024 10:00:00,02/11/2024 10:00,Latha,9978210050,Poornima,Hair Oil,1554,Card,
25/08/2024 14:00:00,25/08/2024 14:00,Sangeetha,9202930963,Poornima,Hair Serum,958,PhonePe,
09/10/2024 21:00:00,09/10/2024 21:00,Kavya,9406315661,Anjali,Shampoo,672,GPay,
24/10/2024 10:00:00,24/10/2024 10:00,Aishwarya,9937026644,Suganya Sri,Shampoo,291,GPay,Suganya Sri
31/10/2024 14:00:00,31/10/2024 14:00,Deepa,9181087516,Suganya Sri,Shampoo,313,Cash,
25/09/2024 14:00:00,25/09/2024 14:00,Sandhya,9764863359,Poornima,Face Pack,403,Cash,
29/10/2024 09:00:00,29/10/2024 09:00,Shruthi,9714841570,Suganya Sri,Body Lotion,886,Card,
09/10/2024 09:00:00,09/10/2024 09:00,Sangeetha,9580559375,Poornima,Shampoo,1910,GPay,Malar
14/11/2024 20:00:00,14/11/2024 20:00,Swathi,9579272850,Suganya Sri,Face Pack,1327,Cash,
10/10/2024 10:00:00,10/10/2024 10:00,Sandhya,9438206813,Anjali,Body Lotion,682,GPay,Malar
03/09/2024 10:00:00,03/09/2024 10:00,Sandhya,9816886492,Anjali,Hair Oil,392,GPay,
12/10/2024 19:00:00,12/10/2024 19:00,Meena,9875639836,Malar,Conditioner,1784,Cash,Poornima
11/11/2024 13:00:00,11/11/2024 13:00,Divya,9271504424,Anjali,Face Pack,315,Cash,Malar
27/08/2024 09:00:00,27/08/2024 09:00,Latha,9568016397,Suganya Sri,Shampoo,158,GPay,
27/09/2024 18:00:00,27/09/2024 18:00,Deepa,9456121784,Pinky,Face Pack,1808,GPay,Suganya Sri
17/10/2024 10:00:00,17/10/2024 10:00,Priya,9712856780,Suganya Sri,Face Pack,1879,PhonePe,
26/10/2024 14:00:00,26/10/2024 14:00,Shruthi,9529414723,Anjali,Body Lotion,596,GPay,
01/10/2024 15:00:00,01/10/2024 15:00,Harini,9377335792,Poornima,Hair Serum,176,Card,Pinky
23/09/2024 21:00:00,23/09/2024 21:00,Aishwarya,9221639786,Malar,Face Pack,934,GPay,Suganya Sri
07/10/2024 20:00:00,07/10/2024 20:00,Deepa,9332347569,Pinky,Hair Oil,1782,Cash,
23/09/2024 17:00:00,23/09/2024 17:00,Priya,9745741861,Suganya Sri,Body Lotion,180,Card,
03/10/2024 15:00:00,03/10/2024 15:00,Sandhya,9909948868,Anjali,Face Pack,182,GPay,Pinky
27/09/2024 14:00:00,27/09/2024 14:00,Anjali,9729149530,Poornima,Conditioner,1993,PhonePe,
04/11/2024 13:00:00,04/11/2024 13:00,Anjali,9388919472,Malar,Conditioner,929,GPay,
22/08/2024 09:00:00,22/08/2024 09:00,Anjali,9126649505,Pinky,Face Pack,1601,PhonePe,Poornima
28/08/2024 16:00:00,28/08/2024 16:00,Sandhya,9383365006,Malar,Body Lotion,555,PhonePe,
04/09/2024 17:00:00,04/09/2024 17:00,Ranjani,9451937684,Poornima,Face Pack,242,GPay,Poornima
09/09/2024 12:00:00,09/09/2024 12:00,Divya,9300296233,Malar,Conditioner,1188,PhonePe,Malar
11/10/2024 21:00:00,11/10/2024 21:00,Sangeetha,9320551872,Malar,Conditioner,202,PhonePe,Malar
15/09/2024 14:00:00,15/09/2024 14:00,Nisha,9549280494,Malar,Body Lotion,937,Cash,
15/09/2024 13:00:00,15/09/2024 13:00,Deepa,9299102481,Pinky,Conditioner,1914,Cash,
09/09/2024 21:00:00,09/09/2024 21:00,Sandhya,9353594473,Anjali,Hair Oil,840,PhonePe,Suganya Sri
30/10/2024 13:00:00,30/10/2024 13:00,Kavya,9569782203,Malar,Hair Oil,536,GPay,Pinky
13/10/2024 11:00:00,13/10/2024 11:00,Meena,9929476045,Poornima,Hair Serum,995,PhonePe,
21/09/2024 18:00:00,21/09/2024 18:00,Keerthana,9791487691,Malar,Conditioner,579,Card,Poornima
07/10/2024 11:00:00,07/10/2024 11:00,Sandhya,9790814662,Pinky,Face Pack,1713,GPay,Anjali
21/09/2024 20:00:00,21/09/2024 20:00,Soumya,9439567581,Suganya Sri,Hair Oil,491,Cash,Poornima
24/09/2024 18:00:00,24/09/2024 18:00,Aishwarya,9155402455,Malar,Hair Oil,1937,Cash,
11/11/2024 18:00:00,11/11/2024 18:00,Aishwarya,9654949658,Poornima,Shampoo,1890,Card,
07/09/2024 10:00:00,07/09/2024 10:00,Aishwarya,9706908682,Anjali,Body Lotion,348,GPay,Pinky
27/08/2024 20:00:00,27/08/2024 20:00,Divya,9819656622,Pinky,Hair Oil,779,PhonePe,Malar
15/10/2024 21:00:00,15/10/2024 21:00,Anjali,9898577907,Suganya Sri,Hair Oil,1435,GPay,Anjali
09/11/2024 16:00:00,09/11/2024 16:00,Keerthana,9539355605,Poornima,Shampoo,1338,PhonePe,
25/08/2024 19:00:00,25/08/2024 19:00,Sangeetha,9155479735,Malar,Hair Serum,1716,PhonePe,
23/10/2024 14:00:00,23/10/2024 14:00,Nisha,9778059825,Poornima,Body Lotion,1578,Cash,
01/10/2024 17:00:00,01/10/2024 17:00,Shruthi,9487330830,Pinky,Hair Oil,1157,Card,Anjali
29/08/2024 11:00:00,29/08/2024 11:00,Priya,9677481888,Pinky,Body Lotion,567,Cash,Suganya Sri
16/10/2024 10:00:00,16/10/2024 10:00,Deepa,9276785109,Poornima,Hair Oil,1924,GPay,Poornima
22/10/2024 11:00:00,22/10/2024 11:00,Nisha,9595496188,Poornima,Conditioner,1947,PhonePe,
13/09/2024 15:00:00,13/09/2024 15:00,Priya,9770202850,Anjali,Face Pack,1117,GPay,
25/08/2024 10:00:00,25/08/2024 10:00,Shruthi,9958340396,Malar,Body Lotion,1933,PhonePe,Malar
30/08/2024 11:00:00,30/08/2024 11:00,Latha,9497625086,Suganya Sri,Face Pack,352,PhonePe,Malar
17/10/2024 14:00:00,17/10/2024 14:00,Priya,9584436392,Poornima,Hair Oil,1519,PhonePe,
03/09/2024 12:00:00,03/09/2024 12:00,Swathi,9892537763,Pinky,Body Lotion,1260,PhonePe,
22/09/2024 15:00:00,22/09/2024 15:00,Swathi,9385208860,Anjali,Shampoo,1944,Cash,
12/11/2024 17:00:00,12/11/2024 17:00,Priya,9437515566,Poornima,Hair Serum,1637,PhonePe,
04/09/2024 10:00:00,04/09/2024 10:00,Aishwarya,9169260392,Pinky,Shampoo,580,Cash,
22/09/2024 16:00:00,22/09/2024 16:00,Latha,9271680042,Suganya Sri,Hair Serum,871,GPay,Suganya Sri
22/10/2024 17:00:00,22/10/2024 17:00,Keerthana,9389551784,Anjali,Body Lotion,1787,GPay,
01/09/2024 10:00:00,01/09/2024 10:00,Aishwarya,9953935936,Poornima,Hair Oil,1758,GPay,
09/10/2024 12:00:00,09/10/2024 12:00,Divya,9120486134,Poornima,Hair Oil,599,Card,
12/09/2024 14:00:00,12/09/2024 14:00,Shruthi,9174588027,Suganya Sri,Body Lotion,1524,Cash,
17/10/2024 09:00:00,17/10/2024 09:00,Ranjani,9530202062,Pinky,Body Lotion,916,Cash,
24/08/2024 11:00:00,24/08/2024 11:00,Anjali,9405737594,Pinky,Body Lotion,301,Card,
28/10/2024 21:00:00,28/10/2024 21:00,Harini,9201452888,Pinky,Face Pack,1308,Cash,Malar
22/10/2024 21:00:00,22/10/2024 21:00,Sandhya,9354934003,Suganya Sri,Face Pack,222,Card,Malar
30/10/2024 13:00:00,30/10/2024 13:00,Soumya,9861396327,Anjali,Shampoo,1363,Card,Anjali
02/09/2024 10:00:00,02/09/2024 10:00,Priya,9300885235,Suganya Sri,Face Pack,530,PhonePe,
01/10/2024 18:00:00,01/10/2024 18:00,Aishwarya,9196918115,Suganya Sri,Face Pack,1365,Card,Suganya Sri
19/11/2024 16:00:00,19/11/2024 16:00,Harini,9940640475,Poornima,Shampoo,397,GPay,Anjali
10/10/2024 17:00:00,10/10/2024 17:00,Divya,9101476481,Poornima,Hair Serum,1134,Cash,Anjali
09/11/2024 11:00:00,09/11/2024 11:00,Soumya,9972391955,Poornima,Face Pack,296,Cash,
24/09/2024 09:00:00,24/09/2024 09:00,Divya,9846795204,Anjali,Shampoo,903,Card,Anjali
13/10/2024 17:00:00,13/10/2024 17:00,Anjali,9964711643,Anjali,Hair Oil,1715,PhonePe,Malar
12/10/2024 15:00:00,12/10/2024 15:00,Deepa,9232890314,Pinky,Hair Oil,1615,PhonePe,Anjali
26/09/2024 12:00:00,26/09/2024 12:00,Anjali,9576513539,Poornima,Hair Serum,669,PhonePe,
15/09/2024 19:00:00,15/09/2024 19:00,Sandhya,9979339370,Pinky,Face Pack,317,Cash,Suganya Sri
20/09/2024 16:00:00,20/09/2024 16:00,Anjali,9444443058,Pinky,Hair Serum,1421,PhonePe,
01/09/2024 19:00:00,01/09/2024 19:00,Aishwarya,9877019649,Pinky,Hair Oil,1719,Cash,Poornima
23/10/2024 20:00:00,23/10/2024 20:00,Sandhya,9628055832,Malar,Face Pack,1376,PhonePe,
24/08/2024 14:00:00,24/08/2024 14:00,Soumya,9654353620,Malar,Conditioner,1178,GPay,Suganya Sri
02/10/2024 15:00:00,02/10/2024 15:00,Latha,9717635722,Anjali,Shampoo,1116,GPay,
23/09/2024 20:00:00,23/09/2024 20:00,Swathi,9211672612,Pinky,Hair Oil,991,GPay,Malar
24/10/2024 21:00:00,24/10/2024 21:00,Harini,9130917807,Malar,Body Lotion,1834,Cash,Pinky
23/09/2024 18:00:00,23/09/2024 18:00,Shruthi,9258254639,Poornima,Body Lotion,1755,Cash,
01/10/2024 13:00:00,01/10/2024 13:00,Deepa,9906974527,Malar,Hair Serum,1995,Cash,
13/11/2024 13:00:00,13/11/2024 13:00,Nisha,9468535731,Anjali,Hair Oil,1741,PhonePe,
08/09/2024 12:00:00,08/09/2024 12:00,Swathi,9916797218,Suganya Sri,Hair Oil,922,Cash,Poornima
20/09/2024 19:00:00,20/09/2024 19:00,Keerthana,9491683578,Suganya Sri,Conditioner,1270,Cash,Pinky
07/09/2024 16:00:00,07/09/2024 16:00,Deepa,9106370985,Suganya Sri,Body Lotion,1042,GPay,Suganya Sri
06/11/2024 11:00:00,06/11/2024 11:00,Swathi,9645164573,Suganya Sri,Face Pack,1179,PhonePe,Anjali
19/09/2024 13:00:00,19/09/2024 13:00,Nisha,9302955195,Poornima,Hair Oil,294,Card,
06/11/2024 19:00:00,06/11/2024 19:00,Keerthana,9899765282,Suganya Sri,Body Lotion,230,Card,
15/11/2024 15:00:00,15/11/2024 15:00,Latha,9729803961,Suganya Sri,Conditioner,863,GPay,Suganya Sri
02/09/2024 16:00:00,02/09/2024 16:00,Priya,9509268676,Anjali,Shampoo,397,PhonePe,
12/09/2024 20:00:00,12/09/2024 20:00,Aishwarya,9349295283,Poornima,Shampoo,305,GPay,
11/10/2024 15:00:00,11/10/2024 15:00,Anjali,9860485261,Suganya Sri,Face Pack,752,PhonePe,Malar
30/09/2024 21:00:00,30/09/2024 21:00,Deepa,9331994781,Anjali,Hair Serum,1672,Card,Anjali
01/09/2024 12:00:00,01/09/2024 12:00,Keerthana,9754952167,Suganya Sri,Hair Serum,1886,Cash,Poornima
12/09/2024 21:00:00,12/09/2024 21:00,Ranjani,9492313244,Suganya Sri,Hair Serum,326,GPay,Suganya Sri
