Bill Date & Time,Timestamp,Name,Phone Number,Waxing,Facial,De-tan,Pedicure,Manicure,Bleaching,Wash,Massage,Threading,Hair Cut,Miscellaneous,Bill Amount,Service done by,Payment Mode,Helper for S,Bill Date,week,Name of the day
14/06/2025 23:03:14,14/06/2025 23:03:14,Sneha Gupta,+91 2940196556,False,True,False,False,False,False,True,False,True,False,,1644,Priya,Wallet,Helper1,14/06/2025,24,Saturday
19/10/2025 05:50:14,19/10/2025 05:50:14,Nisha Verma,+91 3561595148,False,False,False,False,False,True,True,False,False,False,,1114,Ritu,Card,Helper2,19/10/2025,42,Sunday
23/09/2025 07:31:14,23/09/2025 07:31:14,Sakshi Kumar,+91 2994680443,False,False,False,False,False,True,False,False,False,True,,1328,Kavita,Card,,23/09/2025,39,Tuesday
21/07/2025 07:12:14,21/07/2025 07:12:14,Sneha Gupta,+91 8951343320,False,False,False,True,False,False,False,False,False,False,,686,Ritu,Cash,,21/07/2025,30,Monday
22/09/2025 07:43:14,22/09/2025 07:43:14,Kavita Reddy,+91 6763201632,True,False,False,False,False,False,False,True,True,False,,1549,Kavita,Card,,22/09/2025,39,Monday
25/11/2025 05:42:14,25/11/2025 05:42:14,Divya Rao,+91 5798687277,False,False,False,True,True,False,False,False,False,False,,1429,Sneha,UPI,,25/11/2025,48,Tuesday
27/06/2025 08:25:14,27/06/2025 08:25:14,Kavita Reddy,+91 4558122362,False,True,False,True,False,False,True,False,False,False,,1910,Kavita,Wallet,Helper1,27/06/2025,26,Friday
30/07/2025 03:31:14,30/07/2025 03:31:14,Divya Rao,+91 0967054668,False,False,False,True,False,False,False,True,True,False,,1549,Kavita,Cash,,30/07/2025,31,Wednesday
02/09/2025 07:50:14,02/09/2025 07:50:14,Pooja Desai,+91 2729806990,False,False,False,False,False,False,True,False,False,False,,338,Kavita,Card,Helper1,02/09/2025,36,Tuesday
13/08/2025 03:27:14,13/08/2025 03:27:14,Kavita Reddy,+91 7556464170,True,False,False,False,False,True,False,False,True,False,,940,Priya,Card,Helper2,13/08/2025,33,Wednesday
13/06/2025 06:16:14,13/06/2025 06:16:14,Kavita Reddy,+91 2719374529,False,True,True,False,True,False,False,False,False,False,,1328,Anjali,Wallet,,13/06/2025,24,Friday
27/07/2025 22:44:14,27/07/2025 22:44:14,Nisha Verma,+91 3149190586,False,True,False,False,False,True,False,False,False,True,,1543,Priya,Wallet,Helper3,27/07/2025,30,Sunday
17/11/2025 04:52:14,17/11/2025 04:52:14,Neha Singh,+91 6284987769,False,False,False,True,False,True,False,False,False,False,,773,Kavita,Card,,17/11/2025,47,Monday
31/10/2025 06:49:14,31/10/2025 06:49:14,Pooja Desai,+91 5075273545,False,False,False,False,True,False,False,False,False,True,,979,Ritu,Card,Helper1,31/10/2025,44,Friday
08/08/2025 08:33:14,08/08/2025 08:33:14,Simran Kaur,+91 8377701436,False,False,False,True,True,True,False,False,False,False,,2193,Anjali,Wallet,Helper3,08/08/2025,32,Friday
06/09/2025 08:36:14,06/09/2025 08:36:14,Sneha Gupta,+91 4431351823,False,False,False,False,False,False,False,True,False,False,,483,Ritu,UPI,Helper1,06/09/2025,36,Saturday
27/07/2025 01:21:14,27/07/2025 01:21:14,Ritu Mehta,+91 2408240084,False,True,True,False,False,False,False,True,False,False,,1490,Kavita,Wallet,,27/07/2025,30,Sunday
02/09/2025 23:10:14,02/09/2025 23:10:14,Sneha Gupta,+91 7116719022,False,True,False,True,True,False,False,False,False,False,,1718,Ritu,Card,,02/09/2025,36,Tuesday
01/10/2025 04:26:14,01/10/2025 04:26:14,Divya Rao,+91 6499091334,False,True,True,True,False,False,False,False,False,False,,1418,Sneha,Cash,,01/10/2025,40,Wednesday
01/10/2025 08:45:14,01/10/2025 08:45:14,Simran Kaur,+91 4034471349,False,True,False,True,False,False,True,False,False,False,,1539,Anjali,Card,Helper1,01/10/2025,40,Wednesday
22/06/2025 23:57:14,22/06/2025 23:57:14,Sneha Gupta,+91 9947174648,False,True,False,False,False,False,False,True,False,True,,1412,Ritu,UPI,Helper1,22/06/2025,25,Sunday
01/07/2025 00:50:14,01/07/2025 00:50:14,Divya Rao,+91 9049027874,False,False,False,False,False,False,False,False,False,True,,646,Kavita,Cash,,01/07/2025,27,Tuesday
05/09/2025 03:28:14,05/09/2025 03:28:14,Ritu Mehta,+91 1256746807,False,False,False,False,False,True,False,False,False,False,,458,Anjali,Cash,,05/09/2025,36,Friday
16/10/2025 21:49:14,16/10/2025 21:49:14,Aditi Joshi,+91 7603859770,False,False,False,False,True,False,False,False,False,False,,762,Sneha,UPI,,16/10/2025,42,Thursday
03/12/2025 04:14:14,03/12/2025 04:14:14,Anjali Sharma,+91 9324808613,False,False,False,False,False,False,False,True,False,False,,320,Sneha,Wallet,Helper3,03/12/2025,49,Wednesday
16/10/2025 08:24:14,16/10/2025 08:24:14,Pooja Desai,+91 7737826398,False,True,True,False,True,False,False,False,False,False,,1891,Anjali,Cash,Helper3,16/10/2025,42,Thursday
23/08/2025 06:44:14,23/08/2025 06:44:14,Sakshi Kumar,+91 7278755886,False,False,False,True,False,True,False,False,False,False,,1229,Kavita,Card,,23/08/2025,34,Saturday
19/06/2025 02:54:14,19/06/2025 02:54:14,Simran Kaur,+91 6627028951,False,True,False,False,False,False,False,False,True,False,,882,Sneha,Wallet,Helper2,19/06/2025,25,Thursday
27/06/2025 04:57:14,27/06/2025 04:57:14,Sneha Gupta,+91 5961586578,False,False,False,False,False,False,False,False,False,True,,270,Sneha,UPI,Helper2,27/06/2025,26,Friday
01/07/2025 03:13:14,01/07/2025 03:13:14,Sakshi Kumar,+91 1724005045,False,False,True,False,False,False,True,False,False,False,,1193,Kavita,Card,Helper2,01/07/2025,27,Tuesday
21/07/2025 22:46:14,21/07/2025 22:46:14,Pooja Desai,+91 9379237474,True,False,False,False,True,False,False,True,False,False,,1395,Kavita,UPI,Helper3,21/07/2025,30,Monday
18/11/2025 03:51:14,18/11/2025 03:51:14,Sneha Gupta,+91 7436713695,True,False,False,False,True,False,False,False,False,True,,1294,Ritu,Cash,,18/11/2025,47,Tuesday
20/08/2025 00:45:14,20/08/2025 00:45:14,Ritu Mehta,+91 3394210470,False,True,True,False,False,True,False,False,False,False,,1661,Sneha,Card,Helper2,20/08/2025,34,Wednesday
24/10/2025 02:40:14,24/10/2025 02:40:14,Aditi Joshi,+91 4247451712,False,False,False,False,False,False,True,False,False,False,,770,Anjali,Cash,,24/10/2025,43,Friday
11/06/2025 01:41:14,11/06/2025 01:41:14,Priya Patel,+91 7549651370,False,False,False,True,False,True,False,False,True,False,,1448,Kavita,Cash,Helper2,11/06/2025,24,Wednesday
18/06/2025 21:26:14,18/06/2025 21:26:14,Simran Kaur,+91 1138267586,False,True,True,False,False,False,True,False,False,False,,1804,Priya,UPI,Helper2,18/06/2025,25,Wednesday
29/09/2025 04:22:14,29/09/2025 04:22:14,Ritu Mehta,+91 1585064317,False,False,False,True,False,False,False,False,False,False,,221,Priya,UPI,Helper2,29/09/2025,40,Monday
10/07/2025 06:20:14,10/07/2025 06:20:14,Priya Patel,+91 8393352904,False,False,True,False,False,False,False,False,False,False,,753,Anjali,Card,Helper1,10/07/2025,28,Thursday
23/11/2025 21:15:14,23/11/2025 21:15:14,Anjali Sharma,+91 5395024026,False,True,False,False,False,False,False,True,False,True,,1954,Ritu,Cash,,23/11/2025,47,Sunday
14/10/2025 00:46:14,14/10/2025 00:46:14,Anjali Sharma,+91 8470076617,False,True,False,False,False,False,False,True,True,False,,1147,Sneha,UPI,Helper3,14/10/2025,42,Tuesday
13/09/2025 06:40:14,13/09/2025 06:40:14,Sneha Gupta,+91 7896118367,False,False,False,False,False,False,True,False,False,False,,547,Kavita,Wallet,,13/09/2025,37,Saturday
02/07/2025 02:34:14,02/07/2025 02:34:14,Ritu Mehta,+91 4527111161,True,False,True,False,False,True,False,False,False,False,,2350,Anjali,Cash,,02/07/2025,27,Wednesday
06/09/2025 07:55:14,06/09/2025 07:55:14,Pooja Desai,+91 0494519832,False,True,False,True,False,False,False,True,False,False,,1903,Priya,UPI,Helper2,06/09/2025,36,Saturday
25/09/2025 05:56:14,25/09/2025 05:56:14,Divya Rao,+91 9809402445,True,False,True,False,False,False,False,False,False,False,,1125,Kavita,Cash,Helper2,25/09/2025,39,Thursday
16/11/2025 21:12:14,16/11/2025 21:12:14,Nisha Verma,+91 8366752545,True,True,False,False,False,False,False,False,False,True,,970,Priya,UPI,,16/11/2025,46,Sunday
24/11/2025 03:38:14,24/11/2025 03:38:14,Divya Rao,+91 7643815614,False,False,False,False,True,False,False,True,False,True,,1275,Ritu,Cash,Helper1,24/11/2025,48,Monday
30/07/2025 01:20:14,30/07/2025 01:20:14,Neha Singh,+91 4451076226,False,False,False,True,False,True,False,False,True,False,,1122,Kavita,Cash,,30/07/2025,31,Wednesday
27/06/2025 02:43:14,27/06/2025 02:43:14,Pooja Desai,+91 9664160529,False,True,False,False,False,True,False,False,False,False,,955,Sneha,Wallet,,27/06/2025,26,Friday
19/10/2025 22:32:14,19/10/2025 22:32:14,Sneha Gupta,+91 5352181883,False,False,True,False,False,True,False,False,False,False,,746,Sneha,UPI,Helper2,19/10/2025,42,Sunday
22/07/2025 06:16:14,22/07/2025 06:16:14,Sakshi Kumar,+91 1277997995,False,False,True,False,False,True,False,True,False,False,,1601,Anjali,UPI,Helper1,22/07/2025,30,Tuesday
06/09/2025 05:11:14,06/09/2025 05:11:14,Sneha Gupta,+91 7700541199,True,False,False,False,False,False,True,True,False,False,,1837,Anjali,Wallet,Helper2,06/09/2025,36,Saturday
23/06/2025 04:13:14,23/06/2025 04:13:14,Ritu Mehta,+91 1820377889,False,False,False,False,False,True,False,False,False,False,,581,Anjali,Wallet,,23/06/2025,26,Monday
02/09/2025 07:45:14,02/09/2025 07:45:14,Anjali Sharma,+91 5151864492,False,True,True,False,False,False,False,False,False,False,,1075,Kavita,Card,Helper1,02/09/2025,36,Tuesday
26/08/2025 05:31:14,26/08/2025 05:31:14,Sakshi Kumar,+91 5281685054,False,False,False,True,False,False,False,False,False,False,,549,Kavita,Card,Helper2,26/08/2025,35,Tuesday
12/07/2025 23:11:14,12/07/2025 23:11:14,Sneha Gupta,+91 1888059296,False,False,True,False,False,False,False,False,False,False,,385,Ritu,Card,,12/07/2025,28,Saturday
19/06/2025 03:30:14,19/06/2025 03:30:14,Sakshi Kumar,+91 3794738347,False,False,False,False,False,True,False,False,False,False,,784,Kavita,Wallet,Helper3,19/06/2025,25,Thursday
13/09/2025 05:40:14,13/09/2025 05:40:14,Pooja Desai,+91 2392407581,False,True,False,False,True,False,False,False,True,False,,1128,Kavita,Card,,13/09/2025,37,Saturday
01/07/2025 00:59:14,01/07/2025 00:59:14,Simran Kaur,+91 5060685361,True,False,False,True,False,False,False,False,False,False,,827,Anjali,Card,Helper2,01/07/2025,27,Tuesday
17/06/2025 02:05:14,17/06/2025 02:05:14,Simran Kaur,+91 2779010432,False,False,False,False,False,False,True,False,True,True,,1251,Anjali,Cash,Helper1,17/06/2025,25,Tuesday
08/08/2025 03:47:14,08/08/2025 03:47:14,Divya Rao,+91 7117980893,False,False,True,False,True,False,True,False,False,False,,1208,Ritu,Wallet,Helper2,08/08/2025,32,Friday
25/11/2025 07:12:14,25/11/2025 07:12:14,Aditi Joshi,+91 5188888067,False,False,False,False,False,False,True,False,False,False,,582,Anjali,Cash,Helper3,25/11/2025,48,Tuesday
25/06/2025 02:22:14,25/06/2025 02:22:14,Nisha Verma,+91 1952058527,False,False,True,False,False,False,False,True,True,False,,1169,Anjali,Card,Helper1,25/06/2025,26,Wednesday
28/07/2025 21:27:14,28/07/2025 21:27:14,Sneha Gupta,+91 8687403450,False,True,False,False,True,True,False,False,False,False,,1832,Kavita,Wallet,Helper3,28/07/2025,31,Monday
25/07/2025 04:51:14,25/07/2025 04:51:14,Simran Kaur,+91 5841616928,False,True,False,False,False,True,False,False,False,False,,816,Anjali,UPI,,25/07/2025,30,Friday
09/11/2025 08:34:14,09/11/2025 08:34:14,Neha Singh,+91 7570596401,False,False,True,False,False,True,True,False,False,False,,1225,Priya,Card,Helper1,09/11/2025,45,Sunday
07/08/2025 07:30:14,07/08/2025 07:30:14,Ritu Mehta,+91 6909275571,False,False,True,False,False,True,False,False,True,False,,1613,Sneha,Cash,Helper1,07/08/2025,32,Thursday
25/07/2025 04:40:14,25/07/2025 04:40:14,Pooja Desai,+91 8144739473,False,False,True,False,False,False,False,False,False,False,,275,Kavita,Card,,25/07/2025,30,Friday
30/06/2025 08:01:14,30/06/2025 08:01:14,Ritu Mehta,+91 5188442258,False,True,False,False,False,False,False,False,False,False,,405,Sneha,Card,,30/06/2025,27,Monday
14/06/2025 02:42:14,14/06/2025 02:42:14,Divya Rao,+91 5782911467,False,True,False,False,False,False,True,False,False,True,,1127,Kavita,Wallet,Helper3,14/06/2025,24,Saturday
10/07/2025 05:47:14,10/07/2025 05:47:14,Divya Rao,+91 2268018242,False,False,False,False,False,True,False,False,False,False,,430,Anjali,UPI,Helper1,10/07/2025,28,Thursday
11/08/2025 00:47:14,11/08/2025 00:47:14,Aditi Joshi,+91 4249818299,False,False,True,False,False,False,False,False,False,False,,545,Ritu,Cash,Helper1,11/08/2025,33,Monday
27/06/2025 21:48:14,27/06/2025 21:48:14,Divya Rao,+91 4396907844,False,False,False,True,False,False,True,False,False,False,,1168,Priya,Cash,Helper2,27/06/2025,26,Friday
28/09/2025 03:37:14,28/09/2025 03:37:14,Simran Kaur,+91 3592555625,False,True,False,False,False,True,False,False,True,False,,1449,Anjali,Wallet,Helper2,28/09/2025,39,Sunday
13/07/2025 22:10:14,13/07/2025 22:10:14,Sneha Gupta,+91 6963259532,False,False,False,False,False,False,False,True,True,False,,1225,Kavita,Cash,Helper1,13/07/2025,28,Sunday
16/09/2025 05:36:14,16/09/2025 05:36:14,Kavita Reddy,+91 3950047974,True,True,False,False,False,False,True,False,False,False,,1381,Kavita,UPI,Helper1,16/09/2025,38,Tuesday
17/09/2025 21:43:14,17/09/2025 21:43:14,Aditi Joshi,+91 3584168784,False,True,True,False,False,False,False,False,False,True,,1484,Anjali,UPI,Helper2,17/09/2025,38,Wednesday
28/07/2025 06:39:14,28/07/2025 06:39:14,Pooja Desai,+91 8000257872,False,False,True,False,False,True,False,False,True,False,,1494,Ritu,UPI,Helper3,28/07/2025,31,Monday
15/10/2025 05:41:14,15/10/2025 05:41:14,Simran Kaur,+91 9470551694,True,False,False,False,True,False,False,True,False,False,,2016,Priya,Wallet,Helper2,15/10/2025,42,Wednesday
20/10/2025 07:53:14,20/10/2025 07:53:14,Divya Rao,+91 6230913075,False,False,True,False,False,False,True,False,False,False,,1028,Ritu,Wallet,Helper1,20/10/2025,43,Monday
04/12/2025 23:40:14,04/12/2025 23:40:14,Kavita Reddy,+91 8578652785,False,False,False,False,True,True,False,True,False,False,,1333,Ritu,UPI,Helper2,04/12/2025,49,Thursday
23/08/2025 01:52:14,23/08/2025 01:52:14,Kavita Reddy,+91 7575844198,False,False,False,False,False,True,True,False,False,False,,846,Priya,UPI,Helper1,23/08/2025,34,Saturday
04/09/2025 04:48:14,04/09/2025 04:48:14,Sneha Gupta,+91 7338484219,False,False,False,True,False,False,False,False,True,True,,1425,Sneha,Cash,Helper1,04/09/2025,36,Thursday
21/09/2025 02:52:14,21/09/2025 02:52:14,Simran Kaur,+91 1208267734,True,False,False,False,True,False,False,False,False,False,,1078,Sneha,Cash,Helper2,21/09/2025,38,Sunday
22/09/2025 00:06:14,22/09/2025 00:06:14,Anjali Sharma,+91 6724004991,False,False,False,False,True,False,False,True,False,False,,1492,Kavita,Card,,22/09/2025,39,Monday
16/08/2025 00:58:14,16/08/2025 00:58:14,Priya Patel,+91 5274205493,False,False,False,False,False,False,False,False,False,True,,615,Kavita,UPI,Helper1,16/08/2025,33,Saturday
18/09/2025 07:13:14,18/09/2025 07:13:14,Neha Singh,+91 2753046374,True,False,False,False,True,False,False,False,False,False,,1035,Sneha,Cash,Helper1,18/09/2025,38,Thursday
05/10/2025 01:17:14,05/10/2025 01:17:14,Pooja Desai,+91 8414593327,False,False,False,False,False,False,False,True,False,False,,582,Kavita,Wallet,Helper2,05/10/2025,40,Sunday
10/08/2025 07:55:14,10/08/2025 07:55:14,Divya Rao,+91 1878519108,False,False,True,True,False,False,False,False,True,False,,1635,Kavita,Cash,Helper2,10/08/2025,32,Sunday
04/11/2025 04:12:14,04/11/2025 04:12:14,Aditi Joshi,+91 7072867908,True,False,False,False,True,False,False,False,False,False,,1065,Priya,Card,Helper1,04/11/2025,45,Tuesday
19/06/2025 03:29:14,19/06/2025 03:29:14,Nisha Verma,+91 1801704622,False,False,False,False,False,True,True,False,False,True,,1829,Priya,Card,Helper3,19/06/2025,25,Thursday
07/07/2025 23:41:14,07/07/2025 23:41:14,Pooja Desai,+91 8230047868,False,False,False,True,False,False,False,False,False,True,,1225,Sneha,UPI,Helper2,07/07/2025,28,Monday
05/07/2025 21:58:14,05/07/2025 21:58:14,Sakshi Kumar,+91 6903311907,True,False,False,True,False,False,False,False,False,True,,1699,Ritu,Card,Helper1,05/07/2025,27,Saturday
13/07/2025 05:25:14,13/07/2025 05:25:14,Kavita Reddy,+91 9599534283,False,False,False,False,True,False,False,False,False,True,,1032,Ritu,Card,,13/07/2025,28,Sunday
28/10/2025 04:10:14,28/10/2025 04:10:14,Ritu Mehta,+91 6856624628,False,False,False,True,False,False,False,False,False,True,,854,Kavita,Cash,,28/10/2025,44,Tuesday
22/09/2025 05:40:14,22/09/2025 05:40:14,Neha Singh,+91 6343517518,True,False,False,True,True,False,False,False,False,False,,1100,Sneha,Card,,22/09/2025,39,Monday
31/07/2025 02:26:14,31/07/2025 02:26:14,Anjali Sharma,+91 3317393638,False,False,False,False,True,False,True,False,False,False,,1423,Anjali,UPI,Helper3,31/07/2025,31,Thursday
08/09/2025 06:03:14,08/09/2025 06:03:14,Simran Kaur,+91 7175355609,False,False,True,False,False,False,False,False,False,False,,216,Anjali,Wallet,Helper3,08/09/2025,37,Monday
17/07/2025 00:28:14,17/07/2025 00:28:14,Kavita Reddy,+91 6937854777,False,False,False,False,False,True,False,False,False,False,,373,Sneha,Wallet,Helper2,17/07/2025,29,Thursday
24/10/2025 07:10:14,24/10/2025 07:10:14,Aditi Joshi,+91 0100623120,False,False,False,False,False,False,False,False,True,False,,666,Anjali,Cash,,24/10/2025,43,Friday
23/11/2025 04:08:14,23/11/2025 04:08:14,Anjali Sharma,+91 8860084840,False,True,True,False,False,False,True,False,False,False,,1386,Sneha,Card,Helper3,23/11/2025,47,Sunday
06/09/2025 01:57:14,06/09/2025 01:57:14,Pooja Desai,+91 1567933410,False,False,False,False,False,False,True,False,False,False,,588,Kavita,Wallet,Helper1,06/09/2025,36,Saturday
17/11/2025 21:51:14,17/11/2025 21:51:14,Neha Singh,+91 1765918033,False,False,False,False,True,False,False,True,False,True,,1010,Ritu,Cash,Helper2,17/11/2025,47,Monday
26/08/2025 21:20:14,26/08/2025 21:20:14,Divya Rao,+91 2614293968,False,False,True,False,False,False,True,False,False,False,,992,Anjali,Cash,Helper1,26/08/2025,35,Tuesday
27/09/2025 01:00:14,27/09/2025 01:00:14,Priya Patel,+91 5999650477,False,False,False,False,False,True,False,False,False,False,,766,Kavita,Wallet,Helper2,27/09/2025,39,Saturday
29/11/2025 06:49:14,29/11/2025 06:49:14,Pooja Desai,+91 1943114262,False,False,False,False,False,True,True,False,True,False,,807,Anjali,Wallet,Helper3,29/11/2025,48,Saturday
15/08/2025 22:15:14,15/08/2025 22:15:14,Priya Patel,+91 2678886101,False,True,False,False,False,False,False,False,True,False,,1126,Priya,UPI,,15/08/2025,33,Friday
14/09/2025 22:53:14,14/09/2025 22:53:14,Aditi Joshi,+91 3982622444,False,True,True,False,False,False,False,False,False,False,,1016,Anjali,Wallet,Helper3,14/09/2025,37,Sunday
08/10/2025 22:30:14,08/10/2025 22:30:14,Sneha Gupta,+91 3799371240,False,False,False,False,False,True,True,False,False,False,,1187,Anjali,Wallet,Helper2,08/10/2025,41,Wednesday
23/08/2025 02:45:14,23/08/2025 02:45:14,Nisha Verma,+91 3752654793,False,False,False,False,True,False,True,False,False,False,,1175,Priya,Card,Helper2,23/08/2025,34,Saturday
29/11/2025 05:08:14,29/11/2025 05:08:14,Nisha Verma,+91 7374167243,False,False,True,False,False,False,True,False,False,False,,861,Kavita,Wallet,,29/11/2025,48,Saturday
22/10/2025 06:06:14,22/10/2025 06:06:14,Nisha Verma,+91 6805891135,False,False,False,False,False,False,False,False,False,True,,245,Ritu,Wallet,Helper3,22/10/2025,43,Wednesday
25/09/2025 22:07:14,25/09/2025 22:07:14,Priya Patel,+91 4388899375,False,False,False,False,False,False,False,True,True,False,,907,Priya,Wallet,Helper1,25/09/2025,39,Thursday
22/08/2025 04:05:14,22/08/2025 04:05:14,Priya Patel,+91 1254573875,False,True,False,False,False,False,False,True,False,False,,1189,Priya,UPI,Helper1,22/08/2025,34,Friday
06/07/2025 22:01:14,06/07/2025 22:01:14,Ritu Mehta,+91 1238282586,False,False,False,True,False,False,True,False,False,False,,778,Kavita,Wallet,Helper1,06/07/2025,27,Sunday
12/11/2025 00:35:14,12/11/2025 00:35:14,Divya Rao,+91 6603341918,False,False,False,False,False,True,False,False,False,False,,533,Sneha,Wallet,Helper1,12/11/2025,46,Wednesday
14/08/2025 08:02:14,14/08/2025 08:02:14,Simran Kaur,+91 8596969155,False,False,True,False,False,False,False,False,False,True,,790,Sneha,UPI,Helper1,14/08/2025,33,Thursday
08/08/2025 01:14:14,08/08/2025 01:14:14,Neha Singh,+91 5286692966,False,False,False,False,False,False,False,True,False,False,,750,Sneha,Card,,08/08/2025,32,Friday
19/08/2025 23:18:14,19/08/2025 23:18:14,Ritu Mehta,+91 7905072368,False,False,False,False,False,False,True,True,False,True,,1979,Sneha,Cash,Helper1,19/08/2025,34,Tuesday
03/08/2025 01:09:14,03/08/2025 01:09:14,Sneha Gupta,+91 3842797881,False,True,False,False,True,True,False,False,False,False,,1648,Ritu,Card,,03/08/2025,31,Sunday
04/07/2025 09:00:14,04/07/2025 09:00:14,Sakshi Kumar,+91 3407451713,False,False,False,False,False,False,False,False,False,True,,559,Ritu,Wallet,Helper2,04/07/2025,27,Friday
11/11/2025 23:57:14,11/11/2025 23:57:14,Kavita Reddy,+91 3095849825,False,False,False,False,True,False,False,False,True,True,,1361,Kavita,Cash,Helper3,11/11/2025,46,Tuesday
21/11/2025 23:51:14,21/11/2025 23:51:14,Neha Singh,+91 3253672946,False,True,False,False,False,False,False,True,False,False,,907,Ritu,UPI,Helper3,21/11/2025,47,Friday
02/10/2025 04:27:14,02/10/2025 04:27:14,Divya Rao,+91 0175186363,False,False,False,False,True,True,False,False,False,False,,1035,Ritu,Card,,02/10/2025,40,Thursday
03/09/2025 07:55:14,03/09/2025 07:55:14,Anjali Sharma,+91 0170127706,False,False,True,False,False,False,False,False,False,False,,509,Sneha,UPI,Helper1,03/09/2025,36,Wednesday
22/11/2025 02:23:14,22/11/2025 02:23:14,Priya Patel,+91 5206436110,False,False,False,False,False,False,False,True,False,False,,279,Sneha,Card,,22/11/2025,47,Saturday
09/06/2025 21:51:14,09/06/2025 21:51:14,Ritu Mehta,+91 1627136111,False,False,False,False,True,True,False,False,False,False,,931,Sneha,Card,Helper1,09/06/2025,24,Monday
21/10/2025 06:07:14,21/10/2025 06:07:14,Divya Rao,+91 2753269731,False,False,True,False,False,False,False,False,False,False,,326,Ritu,Wallet,Helper3,21/10/2025,43,Tuesday
25/09/2025 02:57:14,25/09/2025 02:57:14,Neha Singh,+91 3413899940,False,False,False,True,True,False,False,False,True,False,,1358,Sneha,Wallet,,25/09/2025,39,Thursday
